PopSize: 20,MutationRate: 0.05,Crossover: 0.15,dying: 0.01,Gens: 0
0, 0.000149628, , 0, 81060781
1, 0.000150034, , 1, 81060781
2, 0.000150268, , 2, 81060781
3, 0.000150998, , 3, 81060781
4, 0.000151392, , 4, 80970340
5, 0.000151555, , 5, 80970340
6, 0.000152109, , 6, 80803978
7, 0.000152289, , 7, 80754401
8, 0.000152368, , 8, 80635133
9, 0.000152561, , 9, 80543892
10, 0.000152839, , 10, 80543892
11, 0.000153242, , 11, 80543892
12, 0.000153502, , 12, 80543892
13, 0.000153667, , 13, 80453540
14, 0.000153913, , 14, 80366648
15, 0.000154252, , 15, 80302294
16, 0.000154537, , 16, 80245185
17, 0.000154793, , 17, 80245185
18, 0.000155002, , 18, 80230317
19, 0.000155153, , 19, 80230317
20, 0.00015516, , 20, 80166754
21, 0.000155276, , 21, 80165457
22, 0.000155409, , 22, 80149359
23, 0.000155499, , 23, 80149359
24, 0.000155574, , 24, 80149359
25, 0.00015539, , 25, 80148336
26, 0.000155644, , 26, 80148336
27, 0.000155658, , 27, 80109630
28, 0.000155681, , 28, 80109630
29, 0.000155463, , 29, 80072118
30, 0.000155706, , 30, 79890828
31, 0.000155871, , 31, 79890828
32, 0.000156025, , 32, 79890828
33, 0.000156003, , 33, 79890828
34, 0.000156406, , 34, 79880816
35, 0.000156585, , 35, 79880816
36, 0.000156677, , 36, 79880816
37, 0.000156687, , 37, 79870241
38, 0.000156682, , 38, 79870241
39, 0.000156698, , 39, 79863851
40, 0.000156707, , 40, 79863851
41, 0.00015672, , 41, 79863851
42, 0.000156738, , 42, 79863851
43, 0.000156362, , 43, 79853839
44, 0.000156771, , 44, 79851208
45, 0.000156475, , 45, 79851208
46, 0.000156795, , 46, 79850141
47, 0.000156146, , 47, 79850141
48, 0.000156092, , 48, 79841196
49, 0.000156629, , 49, 79826530
50, 0.000156852, , 50, 79826530
51, 0.000156874, , 51, 79826530
52, 0.000156896, , 52, 79826530
53, 0.000156918, , 53, 79826530
54, 0.00015693, , 54, 79808327
55, 0.000156934, , 55, 79808327
56, 0.000156614, , 56, 79797728
57, 0.000156961, , 57, 79797728
58, 0.000156984, , 58, 79797728
59, 0.000157014, , 59, 79797728
60, 0.000157023, , 60, 79797728
61, 0.000157028, , 61, 79779525
62, 0.000157049, , 62, 79778106
63, 0.000157058, , 63, 79778106
64, 0.000157077, , 64, 79778106
65, 0.000157102, , 65, 79776264
66, 0.00015711, , 66, 79776264
67, 0.00015673, , 67, 79766418
68, 0.000157128, , 68, 79766418
69, 0.000157123, , 69, 79766418
70, 0.000157131, , 70, 79758061
71, 0.000157137, , 71, 79758061
72, 0.000156792, , 72, 79758061
73, 0.000157141, , 73, 79758061
74, 0.000156586, , 74, 79747967
75, 0.00015719, , 75, 79742079
76, 0.000157212, , 76, 79740976
77, 0.000157231, , 77, 79736057
78, 0.000156821, , 78, 79736057
79, 0.000157258, , 79, 79736057
80, 0.000157269, , 80, 79729066
81, 0.000157286, , 81, 79729066
82, 0.000157295, , 82, 79728264
83, 0.000156806, , 83, 79728264
84, 0.000157317, , 84, 79690562
85, 0.000156825, , 85, 79690562
86, 0.000156705, , 86, 79690562
87, 0.000157349, , 87, 79690373
88, 0.000157384, , 88, 79690373
89, 0.000157418, , 89, 79688248
90, 0.000157449, , 90, 79688059
91, 0.000157032, , 91, 79688059
92, 0.000157472, , 92, 79677145
93, 0.00015748, , 93, 79671011
94, 0.000157491, , 94, 79671011
95, 0.000157501, , 95, 79671011
96, 0.000157509, , 96, 79671011
97, 0.000157521, , 97, 79667313
98, 0.000157532, , 98, 79667313
99, 0.000157537, , 99, 79665755
100, 0.000157539, , 100, 79665755
101, 0.000157545, , 101, 79665755
102, 0.000157095, , 102, 79648555
103, 0.000157091, , 103, 79648555
104, 0.000157571, , 104, 79648555
105, 0.000157587, , 105, 79648555
106, 0.000157602, , 106, 79648555
107, 0.00015762, , 107, 79644297
108, 0.000157633, , 108, 79644297
109, 0.000157635, , 109, 79644297
110, 0.000157638, , 110, 79644297
111, 0.000157643, , 111, 79644297
112, 0.000157654, , 112, 79604834
113, 0.000157664, , 113, 79604834
114, 0.000157665, , 114, 79604834
115, 0.000157674, , 115, 79604834
116, 0.000157681, , 116, 79604834
117, 0.000157703, , 117, 79604834
118, 0.000157739, , 118, 79598301
119, 0.000157774, , 119, 79598301
120, 0.000157799, , 120, 79598301
121, 0.000157808, , 121, 79598301
122, 0.000157814, , 122, 79598301
123, 0.000157819, , 123, 79598301
124, 0.000157828, , 124, 79596363
125, 0.000157832, , 125, 79596363
126, 0.000157833, , 126, 79596363
127, 0.000157391, , 127, 79596363
128, 0.00015783, , 128, 79595638
129, 0.000157838, , 129, 79580407
130, 0.00015785, , 130, 79576807
131, 0.000157855, , 131, 79561576
132, 0.000157868, , 132, 79558799
133, 0.000157893, , 133, 79558799
134, 0.000157922, , 134, 79558799
135, 0.000157958, , 135, 79558799
136, 0.000157976, , 136, 79558799
137, 0.000157984, , 137, 79558799
138, 0.000157986, , 138, 79558799
139, 0.000157486, , 139, 79558799
140, 0.000157984, , 140, 79551804
141, 0.000157596, , 141, 79551804
142, 0.000157992, , 142, 79551804
143, 0.000157195, , 143, 79551804
144, 0.000158006, , 144, 79517681
145, 0.000158034, , 145, 79517681
146, 0.000158059, , 146, 79517681
147, 0.000158076, , 147, 79517681
148, 0.000157578, , 148, 79517681
149, 0.000158117, , 149, 79517681
150, 0.000157732, , 150, 79514405
151, 0.000158146, , 151, 79514405
152, 0.000157585, , 152, 79502356
153, 0.00015734, , 153, 79502356
154, 0.000157746, , 154, 79499796
155, 0.000158183, , 155, 79499796
156, 0.000158208, , 156, 79484471
157, 0.000158225, , 157, 79484471
158, 0.000158246, , 158, 79484471
159, 0.000158258, , 159, 79484471
160, 0.000158274, , 160, 79481190
161, 0.000158281, , 161, 79481190
162, 0.0001578, , 162, 79477338
163, 0.000157771, , 163, 79477338
164, 0.000158289, , 164, 79477338
165, 0.000158291, , 165, 79477338
166, 0.000157307, , 166, 79477338
167, 0.000157901, , 167, 79474299
168, 0.000157558, , 168, 79463474
169, 0.000157479, , 169, 79463474
170, 0.000158217, , 170, 79460435
171, 0.000158347, , 171, 79460435
172, 0.000158362, , 172, 79460435
173, 0.000158374, , 173, 79459207
174, 0.000158376, , 174, 79459207
175, 0.000158387, , 175, 79445924
176, 0.000158393, , 176, 79445924
177, 0.000158013, , 177, 79445924
178, 0.00015841, , 178, 79430999
179, 0.00015843, , 179, 79430999
180, 0.000158036, , 180, 79416488
181, 0.000158483, , 181, 79416488
182, 0.00015782, , 182, 79415151
183, 0.0001582, , 183, 79415151
184, 0.000158537, , 184, 79412656
185, 0.000158543, , 185, 79412656
186, 0.000158555, , 186, 79400832
187, 0.000158564, , 187, 79399495
188, 0.000158571, , 188, 79399495
189, 0.000158579, , 189, 79399495
190, 0.000158594, , 190, 79397000
191, 0.000158169, , 191, 79396290
192, 0.000158623, , 192, 79373906
193, 0.000158633, , 193, 79373906
194, 0.000158646, , 194, 79373906
195, 0.000158657, , 195, 79357667
196, 0.000158666, , 196, 79357667
197, 0.000158685, , 197, 79357667
198, 0.000158715, , 198, 79357667
199, 0.000158757, , 199, 79332078
200, 0.0001588, , 200, 79328873
201, 0.000158813, , 201, 79319314
202, 0.000158831, , 202, 79319314
203, 0.000158844, , 203, 79319314
204, 0.000158883, , 204, 79301363
205, 0.000158413, , 205, 79297842
206, 0.000157831, , 206, 79297842
207, 0.000158948, , 207, 79297842
208, 0.000158961, , 208, 79278684
209, 0.000158961, , 209, 79278684
210, 0.000158998, , 210, 79278684
211, 0.000159021, , 211, 79278684
212, 0.000159041, , 212, 79278684
213, 0.000159054, , 213, 79278684
214, 0.000159072, , 214, 79278684
215, 0.000159085, , 215, 79278684
216, 0.000159098, , 216, 79278057
217, 0.000158485, , 217, 79278057
218, 0.000159107, , 218, 79278057
219, 0.000158626, , 219, 79266605
220, 0.000159118, , 220, 79262373
221, 0.00015868, , 221, 79262373
222, 0.000159141, , 222, 79245452
223, 0.000158564, , 223, 79245452
224, 0.000159169, , 224, 79245452
225, 0.000159195, , 225, 79245452
226, 0.000159223, , 226, 79241577
227, 0.000159232, , 227, 79236735
228, 0.000159238, , 228, 79236735
229, 0.000159234, , 229, 79236735
230, 0.00015924, , 230, 79236735
231, 0.000158751, , 231, 79236735
232, 0.000159263, , 232, 79219027
233, 0.000159285, , 233, 79219027
234, 0.000159302, , 234, 79207019
235, 0.000159324, , 235, 79207019
236, 0.000158886, , 236, 79205210
237, 0.000159364, , 237, 79205210
238, 0.000159378, , 238, 79205210
239, 0.000159387, , 239, 79193958
240, 0.000158949, , 240, 79193958
241, 0.000159404, , 241, 79193958
242, 0.000159413, , 242, 79193958
243, 0.000159422, , 243, 79169143
244, 0.000159452, , 244, 79169143
245, 0.000159464, , 245, 79169143
246, 0.000159491, , 246, 79168390
247, 0.000159528, , 247, 79168390
248, 0.000159547, , 248, 79166456
249, 0.000159548, , 249, 79166456
250, 0.000159558, , 250, 79144929
251, 0.000159038, , 251, 79144929
252, 0.000159587, , 252, 79144929
253, 0.000159609, , 253, 79142135
254, 0.000159636, , 254, 79133050
255, 0.000159648, , 255, 79133050
256, 0.000159658, , 256, 79125462
257, 0.000159178, , 257, 79125462
258, 0.000158851, , 258, 79114265
259, 0.000159689, , 259, 79114265
260, 0.000159335, , 260, 79114265
261, 0.000159711, , 261, 79114265
262, 0.000159096, , 262, 79114265
263, 0.000159576, , 263, 79102386
264, 0.000159746, , 264, 79102386
265, 0.000159778, , 265, 79102386
266, 0.000159804, , 266, 79094028
267, 0.000159809, , 267, 79094028
268, 0.000159817, , 268, 79094028
269, 0.000159826, , 269, 79082149
270, 0.000159841, , 270, 79082149
271, 0.000159855, , 271, 79082149
272, 0.000159863, , 272, 79082149
273, 0.000159402, , 273, 79076096
274, 0.000159889, , 274, 79076096
275, 0.0001599, , 275, 79076096
276, 0.000159453, , 276, 79076096
277, 0.000159907, , 277, 79076096
278, 0.000159913, , 278, 79076096
279, 0.00015992, , 279, 79069942
280, 0.000159925, , 280, 79069942
281, 0.000159932, , 281, 79056679
282, 0.000159929, , 282, 79056679
283, 0.000159941, , 283, 79056679
284, 0.000159952, , 284, 79056679
285, 0.000159966, , 285, 79045724
286, 0.000159981, , 286, 79045724
287, 0.000159992, , 287, 79045724
288, 0.00016001, , 288, 79036095
289, 0.000160018, , 289, 79033771
290, 0.000159594, , 290, 79026514
291, 0.000160057, , 291, 79026514
292, 0.000160084, , 292, 79020508
293, 0.000160106, , 293, 79020508
294, 0.000160124, , 294, 79007037
295, 0.000159624, , 295, 79007037
296, 0.000160158, , 296, 78997408
297, 0.00016018, , 297, 78996025
298, 0.00016021, , 298, 78994313
299, 0.000160225, , 299, 78984684
300, 0.00016024, , 300, 78984684
301, 0.000160251, , 301, 78984684
302, 0.000160259, , 302, 78982027
303, 0.000160275, , 303, 78982027
304, 0.000160286, , 304, 78982027
305, 0.000160287, , 305, 78980667
306, 0.000160298, , 306, 78974703
307, 0.000160303, , 307, 78974703
308, 0.000160314, , 308, 78971204
309, 0.000160333, , 309, 78969948
310, 0.000159876, , 310, 78969948
311, 0.000160351, , 311, 78953945
312, 0.000159879, , 312, 78953945
313, 0.000160367, , 313, 78933142
314, 0.000159963, , 314, 78933142
315, 0.000160417, , 315, 78921631
316, 0.000160457, , 316, 78919188
317, 0.000160494, , 317, 78919188
318, 0.000160518, , 318, 78919188
319, 0.000160143, , 319, 78918406
320, 0.000159714, , 320, 78918406
321, 0.000160165, , 321, 78908367
322, 0.000160563, , 322, 78905143
323, 0.000160574, , 323, 78894840
324, 0.000160588, , 324, 78894840
325, 0.000160605, , 325, 78894840
326, 0.00016062, , 326, 78887677
327, 0.000160631, , 327, 78887677
328, 0.000160643, , 328, 78887677
329, 0.00016065, , 329, 78887677
330, 0.000160658, , 330, 78887677
331, 0.000160666, , 331, 78887677
332, 0.000160673, , 332, 78875048
333, 0.000160687, , 333, 78875048
334, 0.000160217, , 334, 78875048
335, 0.00016013, , 335, 78875048
336, 0.000160707, , 336, 78875048
337, 0.000160723, , 337, 78875048
338, 0.000160118, , 338, 78871824
339, 0.00016074, , 339, 78871824
340, 0.000160732, , 340, 78871824
341, 0.000160738, , 341, 78871824
342, 0.000160739, , 342, 78860678
343, 0.000160738, , 343, 78860678
344, 0.000160754, , 344, 78860678
345, 0.000160768, , 345, 78860678
346, 0.000160263, , 346, 78860678
347, 0.000160277, , 347, 78856545
348, 0.000160798, , 348, 78834499
349, 0.000160817, , 349, 78834499
350, 0.000160841, , 350, 78834499
351, 0.000160864, , 351, 78817340
352, 0.000160892, , 352, 78816735
353, 0.000160905, , 353, 78816735
354, 0.000160918, , 354, 78816735
355, 0.000160931, , 355, 78816735
356, 0.000160937, , 356, 78816735
357, 0.000160433, , 357, 78816735
358, 0.000160967, , 358, 78816735
359, 0.000160976, , 359, 78815301
360, 0.000160977, , 360, 78811992
361, 0.000160976, , 361, 78806032
362, 0.000160986, , 362, 78806032
363, 0.000161004, , 363, 78784938
364, 0.000161016, , 364, 78784938
365, 0.000161027, , 365, 78784938
366, 0.00016103, , 366, 78784938
367, 0.000159994, , 367, 78784938
368, 0.000161045, , 368, 78784938
369, 0.000161061, , 369, 78781243
370, 0.000161084, , 370, 78775401
371, 0.000161111, , 371, 78773462
372, 0.000161119, , 372, 78773462
373, 0.000160612, , 373, 78773462
374, 0.000161055, , 374, 78763246
375, 0.00016114, , 375, 78763246
376, 0.000161151, , 376, 78754806
377, 0.000161164, , 377, 78754806
378, 0.000160465, , 378, 78749299
379, 0.000160889, , 379, 78733313
380, 0.000160595, , 380, 78702725
381, 0.000161272, , 381, 78702725
382, 0.000161345, , 382, 78702725
383, 0.000161388, , 383, 78702725
384, 0.000161449, , 384, 78676111
385, 0.000161466, , 385, 78676111
386, 0.000161508, , 386, 78665368
387, 0.000160957, , 387, 78665368
388, 0.000161558, , 388, 78665368
389, 0.000161556, , 389, 78665368
390, 0.000161571, , 390, 78663305
391, 0.000161575, , 391, 78663305
392, 0.000161593, , 392, 78663305
393, 0.0001616, , 393, 78658544
394, 0.000161603, , 394, 78658544
395, 0.000161606, , 395, 78658544
396, 0.000161614, , 396, 78647201
397, 0.00016163, , 397, 78642971
398, 0.000161643, , 398, 78642971
399, 0.00016166, , 399, 78642971
400, 0.000161677, , 400, 78642971
401, 0.000161687, , 401, 78642971
402, 0.000161684, , 402, 78642971
403, 0.000161691, , 403, 78634836
404, 0.000161054, , 404, 78631768
405, 0.000160645, , 405, 78631768
406, 0.000160977, , 406, 78631768
407, 0.000161486, , 407, 78631768
408, 0.000161646, , 408, 78630147
409, 0.000161731, , 409, 78622012
410, 0.000161736, , 410, 78622012
411, 0.000161748, , 411, 78621611
412, 0.000161752, , 412, 78620008
413, 0.000161763, , 413, 78620008
414, 0.000161773, , 414, 78620008
415, 0.000161777, , 415, 78618387
416, 0.000161784, , 416, 78601556
417, 0.000161099, , 417, 78601556
418, 0.0001618, , 418, 78601556
419, 0.000161823, , 419, 78601556
420, 0.000161847, , 420, 78566657
421, 0.000161868, , 421, 78566657
422, 0.000161348, , 422, 78566657
423, 0.000161902, , 423, 78546201
424, 0.000161944, , 424, 78546201
425, 0.000161326, , 425, 78546201
426, 0.000161373, , 426, 78534163
427, 0.000162071, , 427, 78534163
428, 0.000162089, , 428, 78534163
429, 0.000162113, , 429, 78530453
430, 0.000161495, , 430, 78530453
431, 0.00016214, , 431, 78530453
432, 0.000162138, , 432, 78530453
433, 0.000161323, , 433, 78518415
434, 0.000162148, , 434, 78518415
435, 0.000162156, , 435, 78518415
436, 0.000162165, , 436, 78518415
437, 0.000162176, , 437, 78518415
438, 0.000161277, , 438, 78518415
439, 0.000161656, , 439, 78518415
440, 0.000162199, , 440, 78518415
441, 0.000162204, , 441, 78508869
442, 0.000162206, , 442, 78508869
443, 0.000162218, , 443, 78508869
444, 0.000162229, , 444, 78508869
445, 0.000162235, , 445, 78508869
446, 0.000162242, , 446, 78508869
447, 0.000162242, , 447, 78508869
448, 0.000161583, , 448, 78508869
449, 0.000162241, , 449, 78504489
450, 0.000162243, , 450, 78504489
451, 0.000162246, , 451, 78504489
452, 0.000162248, , 452, 78504489
453, 0.000162253, , 453, 78504489
454, 0.000162258, , 454, 78501972
455, 0.000162261, , 455, 78501972
456, 0.00016226, , 456, 78501972
457, 0.00016226, , 457, 78501972
458, 0.00016227, , 458, 78476432
459, 0.000162285, , 459, 78476432
460, 0.000162286, , 460, 78476432
461, 0.000162293, , 461, 78465947
462, 0.000162295, , 462, 78465947
463, 0.000162304, , 463, 78465947
464, 0.000162325, , 464, 78465907
465, 0.00016182, , 465, 78465907
466, 0.000161605, , 466, 78454652
467, 0.000162408, , 467, 78454652
468, 0.000162432, , 468, 78454652
469, 0.000162444, , 469, 78454652
470, 0.000162456, , 470, 78443740
471, 0.000162466, , 471, 78443740
472, 0.00016248, , 472, 78443740
473, 0.0001625, , 473, 78443007
474, 0.000162509, , 474, 78443007
475, 0.000161674, , 475, 78434349
476, 0.000162521, , 476, 78434349
477, 0.000162526, , 477, 78434349
478, 0.000162539, , 478, 78425160
479, 0.000162545, , 479, 78425160
480, 0.000162551, , 480, 78425160
481, 0.000162558, , 481, 78425160
482, 0.000162564, , 482, 78425160
483, 0.000162575, , 483, 78417630
484, 0.000162583, , 484, 78417630
485, 0.000162589, , 485, 78397300
486, 0.000162597, , 486, 78397300
487, 0.000162606, , 487, 78395161
488, 0.000162632, , 488, 78394699
489, 0.000161984, , 489, 78394699
490, 0.000162132, , 490, 78394699
491, 0.000162701, , 491, 78392560
492, 0.000162718, , 492, 78384557
493, 0.000162721, , 493, 78384557
494, 0.000162718, , 494, 78384557
495, 0.000162726, , 495, 78383584
496, 0.000162738, , 496, 78383584
497, 0.000162748, , 497, 78373760
498, 0.000162756, , 498, 78373760
499, 0.000162762, , 499, 78373760
500, 0.000162769, , 500, 78362645
501, 0.000162774, , 501, 78362645
502, 0.00016278, , 502, 78362645
503, 0.000162801, , 503, 78343873
504, 0.000162815, , 504, 78343873
505, 0.000162848, , 505, 78343873
506, 0.000162882, , 506, 78328730
507, 0.000162918, , 507, 78328730
508, 0.000162935, , 508, 78320727
509, 0.000162947, , 509, 78320727
510, 0.000162957, , 510, 78320727
511, 0.00016195, , 511, 78320727
512, 0.000162436, , 512, 78320727
513, 0.000162995, , 513, 78306036
514, 0.000162999, , 514, 78298033
515, 0.000163014, , 515, 78298033
516, 0.000162432, , 516, 78297824
517, 0.000162505, , 517, 78297824
518, 0.000163083, , 518, 78297824
519, 0.000163102, , 519, 78297824
520, 0.000163114, , 520, 78297824
521, 0.00016312, , 521, 78286000
522, 0.000163129, , 522, 78280947
523, 0.00016314, , 523, 78280947
524, 0.000163161, , 524, 78277057
525, 0.000163184, , 525, 78269123
526, 0.000163201, , 526, 78263178
527, 0.000163212, , 527, 78258129
528, 0.000163225, , 528, 78258129
529, 0.000163248, , 529, 78251354
530, 0.000162724, , 530, 78240687
531, 0.00016328, , 531, 78240687
532, 0.000163288, , 532, 78240687
533, 0.000163299, , 533, 78233117
534, 0.000163319, , 534, 78233117
535, 0.000163334, , 535, 78233117
536, 0.000163346, , 536, 78233117
537, 0.000162645, , 537, 78228068
538, 0.000163268, , 538, 78219945
539, 0.000163395, , 539, 78219945
540, 0.000163408, , 540, 78214896
541, 0.000163421, , 541, 78214896
542, 0.000162708, , 542, 78214896
543, 0.000163427, , 543, 78214896
544, 0.000163442, , 544, 78214896
545, 0.000163448, , 545, 78214896
546, 0.000163459, , 546, 78214322
547, 0.000163464, , 547, 78208257
548, 0.000163469, , 548, 78208257
549, 0.000163472, , 549, 78208257
550, 0.00016348, , 550, 78204392
551, 0.000163484, , 551, 78204392
552, 0.00016349, , 552, 78204392
553, 0.000163498, , 553, 78189371
554, 0.000163503, , 554, 78189371
555, 0.000163519, , 555, 78188488
556, 0.000163546, , 556, 78188488
557, 0.000162936, , 557, 78176009
558, 0.000163569, , 558, 78176009
559, 0.000163579, , 559, 78176009
560, 0.000162288, , 560, 78175521
561, 0.000163584, , 561, 78175521
562, 0.000162911, , 562, 78175521
563, 0.000163605, , 563, 78171238
564, 0.000162889, , 564, 78171238
565, 0.00016362, , 565, 78170750
566, 0.000163634, , 566, 78167120
567, 0.000163639, , 567, 78167120
568, 0.000163647, , 568, 78164631
569, 0.000163648, , 569, 78164631
570, 0.00016366, , 570, 78152301
571, 0.000163672, , 571, 78152301
572, 0.000162952, , 572, 78152301
573, 0.000163697, , 573, 78136281
574, 0.00016371, , 574, 78136281
575, 0.000163725, , 575, 78136281
576, 0.000163049, , 576, 78136281
577, 0.00016374, , 577, 78136281
578, 0.000163758, , 578, 78132069
579, 0.000163776, , 579, 78132069
580, 0.000163074, , 580, 78132069
581, 0.000163803, , 581, 78119123
582, 0.000163815, , 582, 78119123
583, 0.000163828, , 583, 78118048
584, 0.000163846, , 584, 78114911
585, 0.000163866, , 585, 78114911
586, 0.000163876, , 586, 78092766
587, 0.000162426, , 587, 78092766
588, 0.00016316, , 588, 78092766
589, 0.000163898, , 589, 78092766
590, 0.000162872, , 590, 78092766
591, 0.000163085, , 591, 78092766
592, 0.000163043, , 592, 78030761
593, 0.000163998, , 593, 78030761
594, 0.00016405, , 594, 78030761
595, 0.000164096, , 595, 78030761
596, 0.000163391, , 596, 78021194
597, 0.000164209, , 597, 78021194
598, 0.000164239, , 598, 78021194
599, 0.000164243, , 599, 78021194
600, 0.000164256, , 600, 78021194
601, 0.000164268, , 601, 78015202
602, 0.000164283, , 602, 78004543
603, 0.000164287, , 603, 78004543
604, 0.000164301, , 604, 77998551
605, 0.000164306, , 605, 77998551
606, 0.000163284, , 606, 77998551
607, 0.000164332, , 607, 77998551
608, 0.000164342, , 608, 77998551
609, 0.000164351, , 609, 77998005
610, 0.000164356, , 610, 77998005
611, 0.000164358, , 611, 77998005
612, 0.00016437, , 612, 77998005
613, 0.000164367, , 613, 77998005
614, 0.000164369, , 614, 77998005
615, 0.000164374, , 615, 77998005
616, 0.000164372, , 616, 77998005
617, 0.000164374, , 617, 77998005
618, 0.000164377, , 618, 77986511
619, 0.000164381, , 619, 77986511
620, 0.000164391, , 620, 77986511
621, 0.000163719, , 621, 77986511
622, 0.000164411, , 622, 77986511
623, 0.000164422, , 623, 77986511
624, 0.000164432, , 624, 77962897
625, 0.000162634, , 625, 77962897
626, 0.000164439, , 626, 77948544
627, 0.00016301, , 627, 77948544
628, 0.000164512, , 628, 77948544
629, 0.000164556, , 629, 77948544
630, 0.000164564, , 630, 77948544
631, 0.00016458, , 631, 77948544
632, 0.000164583, , 632, 77948544
633, 0.000164579, , 633, 77948544
634, 0.000164583, , 634, 77948544
635, 0.000164583, , 635, 77948544
636, 0.000164579, , 636, 77948544
637, 0.000164581, , 637, 77947125
638, 0.000164583, , 638, 77947125
639, 0.000164583, , 639, 77947125
640, 0.000164579, , 640, 77947125
641, 0.000164584, , 641, 77943025
642, 0.00016383, , 642, 77943025
643, 0.000164588, , 643, 77943025
644, 0.000164589, , 644, 77943025
645, 0.000163896, , 645, 77943025
646, 0.000164594, , 646, 77943025
647, 0.000163188, , 647, 77939539
648, 0.000164605, , 648, 77939539
649, 0.000164599, , 649, 77939539
650, 0.000164613, , 650, 77933467
651, 0.000163372, , 651, 77933467
652, 0.000164618, , 652, 77933467
653, 0.000164622, , 653, 77931400
654, 0.000164631, , 654, 77931400
