PopSize: 20,MutationRate: 0.05,Crossover: 0.15,dying: 0.01,Gens: 0
0, 0.000150377, , 0, 0.000153036
1, 0.000151861, , 1, 0.000153487
2, 0.00015225, , 2, 0.000153487
3, 0.000152812, , 3, 0.000153487
4, 0.000153412, , 4, 0.00015456
5, 0.000153101, , 5, 0.00015456
6, 0.000153386, , 6, 0.000155333
7, 0.000153596, , 7, 0.000155333
8, 0.000153603, , 8, 0.000155333
9, 0.000153782, , 9, 0.000155451
10, 0.000153885, , 10, 0.000155451
11, 0.00015388, , 11, 0.000155451
12, 0.000154549, , 12, 0.000155451
13, 0.000154922, , 13, 0.000156286
14, 0.00015489, , 14, 0.000156286
15, 0.000155385, , 15, 0.000156286
16, 0.000155434, , 16, 0.000156288
17, 0.000155494, , 17, 0.000156288
18, 0.000155555, , 18, 0.000156288
19, 0.000155761, , 19, 0.000156372
20, 0.000155951, , 20, 0.000156403
21, 0.000156039, , 21, 0.000156403
22, 0.000156177, , 22, 0.000156403
23, 0.000155996, , 23, 0.000156403
24, 0.000156372, , 24, 0.000156517
25, 0.000156398, , 25, 0.000156517
26, 0.000156407, , 26, 0.000156517
27, 0.000156407, , 27, 0.000156517
28, 0.000156407, , 28, 0.000156517
29, 0.000156406, , 29, 0.000156517
30, 0.000156419, , 30, 0.000156517
31, 0.000156433, , 31, 0.000156517
32, 0.000156472, , 32, 0.000156548
33, 0.000156168, , 33, 0.000156548
34, 0.00015652, , 34, 0.000156548
35, 0.000156181, , 35, 0.000156552
36, 0.000156243, , 36, 0.000156553
37, 0.000156182, , 37, 0.000156571
38, 0.000156554, , 38, 0.000156571
39, 0.000156558, , 39, 0.000156571
40, 0.000156563, , 40, 0.000156574
41, 0.000156569, , 41, 0.000156575
42, 0.000156573, , 42, 0.000156575
43, 0.000156392, , 43, 0.000156575
44, 0.000156572, , 44, 0.000156596
45, 0.000156574, , 45, 0.000156596
46, 0.000156584, , 46, 0.000156596
47, 0.000156589, , 47, 0.000156601
48, 0.000156593, , 48, 0.000156601
49, 0.0001566, , 49, 0.000156655
50, 0.00015661, , 50, 0.000156655
51, 0.000156617, , 51, 0.000156676
52, 0.000156629, , 52, 0.000156676
53, 0.000156638, , 53, 0.000156676
54, 0.000156648, , 54, 0.000156676
55, 0.000156658, , 55, 0.000156763
56, 0.000156674, , 56, 0.000156763
57, 0.000156692, , 57, 0.000156763
58, 0.000156728, , 58, 0.000156763
59, 0.000156738, , 59, 0.000156773
60, 0.000156757, , 60, 0.000156773
61, 0.000156767, , 61, 0.000156774
62, 0.000156778, , 62, 0.000156899
63, 0.000156782, , 63, 0.000156899
64, 0.000156796, , 64, 0.000156922
65, 0.000156414, , 65, 0.000156922
66, 0.000156857, , 66, 0.000156955
67, 0.000156614, , 67, 0.000156955
68, 0.000156909, , 68, 0.000156955
69, 0.000156596, , 69, 0.000156968
70, 0.000156939, , 70, 0.000157001
71, 0.000156951, , 71, 0.000157054
72, 0.000156963, , 72, 0.000157054
73, 0.000156983, , 73, 0.000157054
74, 0.00015666, , 74, 0.000157061
75, 0.000157038, , 75, 0.000157089
76, 0.000156601, , 76, 0.000157089
77, 0.000157064, , 77, 0.000157089
78, 0.000157072, , 78, 0.000157114
79, 0.000156698, , 79, 0.000157256
80, 0.00015712, , 80, 0.000157256
81, 0.000157181, , 81, 0.000157256
82, 0.000157234, , 82, 0.000157256
83, 0.000157249, , 83, 0.000157285
84, 0.000157257, , 84, 0.000157285
85, 0.000157254, , 85, 0.000157285
86, 0.000157252, , 86, 0.000157308
87, 0.000157268, , 87, 0.000157308
88, 0.00015694, , 88, 0.000157308
89, 0.000157293, , 89, 0.000157308
90, 0.000157304, , 90, 0.000157308
91, 0.000157309, , 91, 0.000157321
92, 0.00015731, , 92, 0.000157321
93, 0.000157312, , 93, 0.000157321
94, 0.000157317, , 94, 0.000157321
95, 0.000157314, , 95, 0.000157321
96, 0.000156981, , 96, 0.000157321
97, 0.000157319, , 97, 0.000157321
98, 0.000157322, , 98, 0.00015734
99, 0.00015732, , 99, 0.00015734
100, 0.000157322, , 100, 0.00015734
101, 0.000157324, , 101, 0.00015734
102, 0.000157325, , 102, 0.00015734
103, 0.000157327, , 103, 0.00015734
104, 0.000157332, , 104, 0.0001574
105, 0.000157345, , 105, 0.0001574
106, 0.000156867, , 106, 0.0001574
107, 0.000157363, , 107, 0.0001574
108, 0.000157372, , 108, 0.000157407
109, 0.000157383, , 109, 0.000157418
110, 0.000157405, , 110, 0.000157425
111, 0.000157186, , 111, 0.000157425
